human associated,Streptococcus infantis
human associated,Streptococcus intermedius
human associated,Streptococcus mitis
human associated,Streptococcus mutans
human associated,Streptococcus oralis
human associated,Streptococcus parasanguinis
human associated,Streptococcus pneumoniae
human associated,Streptococcus pseudopneumoniae
human associated,Streptococcus rubneri
human associated,Streptococcus salivarius
human associated,Streptococcus sanguinis
human associated,Streptococcus thermophilus
human associated,Streptococcus tigurinus
human associated,Streptococcus vestibularis
halophile,Tetragenococcus halophilus
environmental,Thiobacillus denitrificans
,Trichococcus pasteurii
,Ureibacillus thermosphaericus
,Varibaculum cambriense
,Veillonella atypica
,Veillonella criceti
,Veillonella dispar
,Veillonella parvula
,Veillonella ratti
,Veillonella tobetsuensis
,Yokenella regensburgei
